question,topic,relevant
"How can I make my own jewelry?", Gender Equality in Leadership Roles, 0
"What are the best budgeting tools?", Gender Equality in Leadership Roles, 0
"How do I improve my credit score?", Gender Equality in Leadership Roles, 0
"What are the best strategies for time management?", Gender Equality in Leadership Roles, 0
"How do I make my own compost?", Gender Equality in Leadership Roles, 0
"What is the best way to learn a new language?", Gender Equality in Leadership Roles, 0
"How do I make my own soap?", Gender Equality in Leadership Roles, 0
"What are the best apps for fitness?", Gender Equality in Leadership Roles, 0
"How do I start a blog?", Gender Equality in Leadership Roles, 0
"What is the best way to decorate my apartment?", Gender Equality in Leadership Roles, 0
"How do I clean my house?", Gender Equality in Leadership Roles, 0
"What are the best strategies to stay motivated?", Gender Equality in Leadership Roles, 0
"How do I organize my family photo album?", Gender Equality in Leadership Roles, 0
"What are the best ways to budget my finances?", Gender Equality in Leadership Roles, 0
"How do I repair a leaking faucet?", Gender Equality in Leadership Roles, 0
"How do I make a time capsule?", Gender Equality in Leadership Roles, 0
"How do I organize my desk for maximum productivity?", Gender Equality in Leadership Roles, 0
"How do I fix a broken phone screen?", Gender Equality in Leadership Roles, 0
"What are the best vegan recipes?", Gender Equality in Leadership Roles, 0
"How do I make my own candles?", Gender Equality in Leadership Roles, 0
"What are the best vacation spots for solo travelers?", Gender Equality in Leadership Roles, 0
"What is Newton's second law of motion?", Physics, 1
"How does gravity influence planetary motion?", Physics, 1
"What is the difference between scalar and vector quantities?", Physics, 1
"How does the law of conservation of energy apply to everyday scenarios?", Physics, 1
"What are the applications of quantum mechanics?", Physics, 1
"How do magnets produce a magnetic field?", Physics, 1
"What is the role of friction in motion?", Physics, 1
"How does light behave as both a wave and a particle?", Physics, 1
"What is the concept of spacetime in general relativity?", Physics, 1
"How does a nuclear reactor generate energy?", Physics, 1
"What is the photoelectric effect?", Physics, 1
"How does thermodynamics govern energy transfer?", Physics, 1
"What is the relationship between electricity and magnetism?", Physics, 1
"How do black holes form?", Physics, 1
"What is the Doppler effect and how is it used in astronomy?", Physics, 1
"What are the principles behind an electric motor?", Physics, 1
"How does Bernoulli’s principle explain the lift on airplane wings?", Physics, 1
"What is the difference between classical and modern physics?", Physics, 1
"How does special relativity affect time and space?", Physics, 1
"What is the Heisenberg uncertainty principle?", Physics, 1
"How do sound waves propagate through different media?", Physics, 1
"What are the laws of thermodynamics?", Physics, 1
"How do we measure the speed of light?", Physics, 1
"What is the concept of wave-particle duality?", Physics, 1
"How does a pendulum demonstrate simple harmonic motion?", Physics, 1
"What is the role of dark matter in the universe?", Physics, 1
"How do superconductors work?", Physics, 1
"What are the applications of laser technology?", Physics, 1
"How does the greenhouse effect relate to infrared radiation?", Physics, 1
"What is the principle behind the working of a transformer?", Physics, 1
"What is Planck's constant and why is it important in quantum physics?", Physics, 1
"How do radio waves transmit information?", Physics, 1
"What is the relationship between mass and energy according to Einstein?", Physics, 1
"What are gravitational waves and how are they detected?", Physics, 1
"How does refraction bend light?", Physics, 1
"What is the significance of the Higgs boson?", Physics, 1
"How does the conservation of momentum apply in collisions?", Physics, 1
"What is entropy and how does it relate to disorder?", Physics, 1
"What are the fundamental forces of nature?", Physics, 1
"How does the double-slit experiment illustrate quantum behavior?", Physics, 1
"What is the principle of superposition in waves?", Physics, 1
"How do solar panels convert sunlight into electricity?", Physics, 1
"What is the difference between conduction, convection, and radiation?", Physics, 1
"How does angular momentum affect rotating bodies?", Physics, 1
"What is the role of neutrinos in particle physics?", Physics, 1
"How does polarization affect light waves?", Physics, 1
"What is the importance of Maxwell’s equations?", Physics, 1
"How do satellites stay in orbit?", Physics, 1
"What is the principle of a gyroscope?", Physics, 1
"How does the strong nuclear force work in atoms?", Physics, 1
"How do I bake a cake?", Physics, 0
"What is the best way to grow tomatoes?", Physics, 0
"How do I repair my bike?", Physics, 0
"What is the most popular travel destination in Europe?", Physics, 0
"How do I paint a landscape?", Physics, 0
"What are the best tips for personal finance?", Physics, 0
"How do I install a ceiling fan?", Physics, 0
"What is the most effective way to clean a carpet?", Physics, 0
"How do I learn to play guitar?", Physics, 0
"What is the best way to prepare for a job interview?", Physics, 0
"How can I improve my handwriting?", Physics, 0
"What are the best practices for urban gardening?", Physics, 0
"How do I assemble flat-pack furniture?", Physics, 0
"What is the most popular sport in the world?", Physics, 0
"How do I write a novel?", Physics, 0
"What are the top-rated romantic movies of all time?", Physics, 0
"How do I fix a broken zipper?", Physics, 0
"What is the best way to fold a fitted sheet?", Physics, 0
"How can I improve my photography skills?", Physics, 0
"What is the best way to train for a marathon?", Physics, 0
"How do I make a soufflé?", Physics, 0
"What are the benefits of yoga for relaxation?", Physics, 0
"How do I create a successful blog?", Physics, 0
"What are the most effective cleaning hacks?", Physics, 0
"How do I train my cat?", Physics, 0
"What are the best budget-friendly travel destinations?", Physics, 0
"How do I prepare for a mountain hike?", Physics, 0
"What is the best way to learn French?", Physics, 0
"How do I fix a leaky faucet?", Physics, 0
"What are the top-rated video games this year?", Physics, 0
"How do I build a birdhouse?", Physics, 0
"What is the best way to save money while shopping?", Physics, 0
"How do I sew a button on a shirt?", Physics, 0
"What is the most popular book of all time?", Physics, 0
"How do I organize my workspace?", Physics, 0
"What are the benefits of drinking green tea?", Physics, 0
"How do I arrange a bouquet of flowers?", Physics, 0
"What are the best ways to conserve water at home?", Physics, 0
"How do I plan a surprise party?", Physics, 0
